dataset,instance,T,J,I,binary_variables,continuous_variables,constraints,source_py,source_json
4X,IncT4x_4,76,159,50,12084,7601,3877,instances\gamspy_py\4X\IncT4x_4.py,instances\json\4X\IncT4x_4.json
4X,IncT4x_5,76,159,50,12084,7601,3877,instances\gamspy_py\4X\IncT4x_5.py,instances\json\4X\IncT4x_5.json
4X,IncT4x_6,76,159,50,12084,7601,3877,instances\gamspy_py\4X\IncT4x_6.py,instances\json\4X\IncT4x_6.json
4X,IncT4x_7,76,159,50,12084,7601,3877,instances\gamspy_py\4X\IncT4x_7.py,instances\json\4X\IncT4x_7.json
4X,IncT4x_8,76,159,50,12084,7601,3877,instances\gamspy_py\4X\IncT4x_8.py,instances\json\4X\IncT4x_8.json
4X,IncT4x_9,76,159,50,12084,7601,3877,instances\gamspy_py\4X\IncT4x_9.py,instances\json\4X\IncT4x_9.json
5X,IncT5x_1,95,159,50,15105,9501,4846,instances\gamspy_py\5X\IncT5x_1.py,instances\json\5X\IncT5x_1.json
5X,IncT5x_10,95,159,50,15105,9501,4846,instances\gamspy_py\5X\IncT5x_10.py,instances\json\5X\IncT5x_10.json
5X,IncT5x_2,95,159,50,15105,9501,4846,instances\gamspy_py\5X\IncT5x_2.py,instances\json\5X\IncT5x_2.json
5X,IncT5x_3,95,159,50,15105,9501,4846,instances\gamspy_py\5X\IncT5x_3.py,instances\json\5X\IncT5x_3.json
5X,IncT5x_4,95,159,50,15105,9501,4846,instances\gamspy_py\5X\IncT5x_4.py,instances\json\5X\IncT5x_4.json
5X,IncT5x_5,95,159,50,15105,9501,4846,instances\gamspy_py\5X\IncT5x_5.py,instances\json\5X\IncT5x_5.json
5X,IncT5x_6,95,159,50,15105,9501,4846,instances\gamspy_py\5X\IncT5x_6.py,instances\json\5X\IncT5x_6.json
5X,IncT5x_7,95,159,50,15105,9501,4846,instances\gamspy_py\5X\IncT5x_7.py,instances\json\5X\IncT5x_7.json
5X,IncT5x_8,95,159,50,15105,9501,4846,instances\gamspy_py\5X\IncT5x_8.py,instances\json\5X\IncT5x_8.json
5X,IncT5x_9,95,159,50,15105,9501,4846,instances\gamspy_py\5X\IncT5x_9.py,instances\json\5X\IncT5x_9.json
8X,IncT8x_2,152,159,50,24168,15201,7753,instances\gamspy_py\8X\IncT8x_2.py,instances\json\8X\IncT8x_2.json
8X,IncT8x_3,152,159,50,24168,15201,7753,instances\gamspy_py\8X\IncT8x_3.py,instances\json\8X\IncT8x_3.json
8X,IncT8x_4,152,159,50,24168,15201,7753,instances\gamspy_py\8X\IncT8x_4.py,instances\json\8X\IncT8x_4.json
8X,IncT8x_5,152,159,50,24168,15201,7753,instances\gamspy_py\8X\IncT8x_5.py,instances\json\8X\IncT8x_5.json
8X,IncT8x_6,152,159,50,24168,15201,7753,instances\gamspy_py\8X\IncT8x_6.py,instances\json\8X\IncT8x_6.json
10X,IncT10x_2,190,159,50,30210,19001,9691,instances\gamspy_py\10X\IncT10x_2.py,instances\json\10X\IncT10x_2.json
10X,IncT10x_3,190,159,50,30210,19001,9691,instances\gamspy_py\10X\IncT10x_3.py,instances\json\10X\IncT10x_3.json
10X,IncT10x_4,190,159,50,30210,19001,9691,instances\gamspy_py\10X\IncT10x_4.py,instances\json\10X\IncT10x_4.json
10X,IncT10x_5,190,159,50,30210,19001,9691,instances\gamspy_py\10X\IncT10x_5.py,instances\json\10X\IncT10x_5.json
10X,IncT10x_6,190,159,50,30210,19001,9691,instances\gamspy_py\10X\IncT10x_6.py,instances\json\10X\IncT10x_6.json
