dataset,instance,product,period,value
S,S_1,EK8RM_6_8,19,12.0
S,S_1,EK8RM_8_12,7,22073.0
S,S_1,EK8RM_8_12,15,331.0
S,S_1,EK8RM_8_12,16,609.0
S,S_1,EK8RM_8_12,17,902.0
S,S_1,EK8RM_8_12,19,85.0
S,S_1,EK8RM_8_20,8,2222.0
S,S_1,EK8RM_8_20,17,162.0
S,S_1,EK8RM_8_20,18,12424.0
S,S_1,EK8RM_8_20,19,192.0
S,S_1,EK8RM_12_16,7,506.0
S,S_1,EK8RM_12_16,8,535.0
S,S_1,EK8RM_12_16,9,2876.0
S,S_1,EK8RM_12_16,13,556.0
S,S_1,EK8RM_12_16,19,527.0
S,S_1,EK8RM_12_30,3,2061.0
S,S_1,EK8RM_12_30,11,5718.0
S,S_1,EK8RM_12_30,12,12051.0
S,S_1,EK8RM_12_30,19,8670.0
S,S_1,EK8RM_18_30,5,312.0
S,S_1,EK8RM_18_30,14,585.0
S,S_1,EK8RM_18_30,15,3149.0
S,S_1,EK8RM_18_30,16,1883.0
S,S_1,EK8RM_18_30,19,71.0
S,S_1,EK8RM_30_50,11,25765.0
S,S_1,EK8RM_30_50,12,3470.0
S,S_1,EK8RM_30_50,17,5581.0
S,S_1,EK8RM_30_50,19,184.0
S,S_1,EK8RM_28_F,6,4265.0
S,S_1,EK8RM_28_F,7,1951.0
S,S_1,EK8RM_28_F,11,597.0
S,S_1,EK8RM_28_F,19,687.0
S,S_1,EK8RM_50_F,9,1015.0
S,S_1,EK8RM_50_F,10,1965.0
S,S_1,EK8RM_50_F,17,1265.0
S,S_1,EK8RM_50_F,18,1613.0
S,S_1,EK8RM_50_F,19,142.0
S,S_10,EK8A_16,11,245.0
S,S_10,EK8A_16,19,5.0
S,S_10,EK8A_24,16,1788.0
S,S_10,EK8A_24,19,212.0
S,S_10,EK8A_30,5,1068.0
S,S_10,EK8A_30,19,182.0
S,S_10,EK8A_36,1,328.0
S,S_10,EK8A_36,15,3322.0
S,S_10,EK8A_36,19,600.0
S,S_10,EK8A_46,2,362.0
S,S_10,EK8A_46,3,924.0
S,S_10,EK8A_46,7,7139.0
S,S_10,EK8A_46,16,967.0
S,S_10,EK8A_46,19,108.0
S,S_10,EK8A_54,13,206.0
S,S_10,EK8A_54,16,230.0
S,S_10,EK8A_54,17,1408.0
S,S_10,EK8A_54,19,156.0
S,S_10,EK8A_60,15,4748.0
S,S_10,EK8A_60,16,324.0
S,S_10,EK8A_60,17,1069.0
S,S_10,EK8A_60,18,4334.0
S,S_10,EK8A_60,19,75.0
S,S_10,EK8A_80,3,1976.0
S,S_10,EK8A_80,18,7900.0
S,S_10,EK8A_80,19,124.0
S,S_10,EK8A_100,8,495.0
S,S_10,EK8A_100,9,392.0
S,S_10,EK8A_100,12,380.0
S,S_10,EK8A_100,13,474.0
S,S_10,EK8A_100,16,262.0
S,S_10,EK8A_100,18,1213.0
S,S_10,EK8A_100,19,234.0
S,S_10,EK8A_120,4,228.0
S,S_10,EK8A_120,16,2062.0
S,S_10,EK8A_120,17,2078.0
S,S_10,EK8A_120,19,232.0
S,S_10,EK8A_150,8,296.0
S,S_10,EK8A_150,11,222.0
S,S_10,EK8A_150,12,222.0
S,S_10,EK8A_150,13,2588.0
S,S_10,EK8A_150,19,1172.0
S,S_10,EK8A_FFF,17,1768.0
S,S_10,EK8A_FFF,18,1163.0
S,S_10,EK8A_FFF,19,69.0
S,S_10,EK8R_3_5_7,10,245.0
S,S_10,EK8R_3_5_7,13,165.0
S,S_10,EK8R_3_5_7,18,472.0
S,S_10,EK8R_3_5_7,19,118.0
S,S_10,EK8R_4_10,7,164.0
S,S_10,EK8R_4_10,9,5241.0
S,S_10,EK8R_4_10,13,228.0
S,S_10,EK8R_4_10,16,328.0
S,S_10,EK8R_4_10,17,182.0
S,S_10,EK8R_4_10,18,2853.0
S,S_10,EK8R_4_10,19,4.0
S,S_10,EK8R_6_10,16,1831.0
S,S_10,EK8R_6_10,19,2169.0
S,S_10,EK8R_10_20,12,225.0
S,S_10,EK8R_10_20,14,610.0
S,S_10,EK8R_10_20,19,65.0
S,S_10,EK8R_12_16,2,2357.0
S,S_10,EK8R_12_16,13,432.0
S,S_10,EK8R_12_16,16,402.0
S,S_10,EK8R_12_16,17,8354.0
S,S_10,EK8R_12_16,19,455.0
S,S_10,EK8R_10_36,3,610.0
S,S_10,EK8R_10_36,7,332.0
S,S_10,EK8R_10_36,15,239.0
S,S_10,EK8R_10_36,18,573.0
S,S_10,EK8R_10_36,19,246.0
S,S_10,EK8R_20_40,14,457.0
S,S_10,EK8R_20_40,19,2693.0
S,S_10,EK8R_08_20,13,355.0
S,S_10,EK8R_08_20,15,152.0
S,S_10,EK8R_08_20,18,2314.0
S,S_10,EK8R_08_20,19,179.0
S,S_10,EK8R_40_F,15,1653.0
S,S_10,EK8R_40_F,16,1072.0
S,S_10,EK8R_40_F,18,1244.0
S,S_10,EK8R_40_F,19,31.0
S,S_10,EK8R_70_F,8,378.0
S,S_10,EK8R_70_F,14,276.0
S,S_10,EK8R_70_F,16,4070.0
S,S_10,EK8R_70_F,18,1721.0
S,S_10,EK8R_70_F,19,555.0
S,S_10,EK8R_16_F,10,436.0
S,S_10,EK8R_16_F,11,237.0
S,S_10,EK8R_16_F,12,7285.0
S,S_10,EK8R_16_F,19,42.0
S,S_10,EK8R_18_F,2,5010.0
S,S_10,EK8R_18_F,3,2976.0
S,S_10,EK8R_18_F,15,1916.0
S,S_10,EK8R_18_F,16,2979.0
S,S_10,EK8R_18_F,19,119.0
S,S_10,EK8RM_05_16_4,10,204.0
S,S_10,EK8RM_05_16_4,11,171.0
S,S_10,EK8RM_05_16_4,15,3691.0
S,S_10,EK8RM_05_16_4,16,447.0
S,S_10,EK8RM_05_16_4,19,2987.0
S,S_10,EK8RM_01_4_4,8,403.0
S,S_10,EK8RM_01_4_4,13,718.0
S,S_10,EK8RM_01_4_4,15,7197.0
S,S_10,EK8RM_01_4_4,17,601.0
S,S_10,EK8RM_01_4_4,19,81.0
S,S_10,EK8RM_4_6,3,5898.0
S,S_10,EK8RM_4_6,19,102.0
S,S_10,EK8RM_6_8,10,407.0
S,S_10,EK8RM_6_8,17,7079.0
S,S_10,EK8RM_6_8,19,14.0
S,S_10,EK8RM_8_12,1,207.0
S,S_10,EK8RM_8_12,3,429.0
S,S_10,EK8RM_8_12,7,14521.0
S,S_10,EK8RM_8_12,10,5146.0
S,S_10,EK8RM_8_12,13,493.0
S,S_10,EK8RM_8_12,16,2267.0
S,S_10,EK8RM_8_12,19,937.0
S,S_10,EK8RM_8_20,7,172.0
S,S_10,EK8RM_8_20,15,13340.0
S,S_10,EK8RM_8_20,17,617.0
S,S_10,EK8RM_8_20,18,721.0
S,S_10,EK8RM_8_20,19,150.0
S,S_10,EK8RM_12_16,9,4785.0
S,S_10,EK8RM_12_16,19,215.0
S,S_10,EK8RM_12_30,4,980.0
S,S_10,EK8RM_12_30,5,4742.0
S,S_10,EK8RM_12_30,17,1149.0
S,S_10,EK8RM_12_30,18,21592.0
S,S_10,EK8RM_12_30,19,37.0
S,S_10,EK8RM_18_30,2,350.0
S,S_10,EK8RM_18_30,12,320.0
S,S_10,EK8RM_18_30,15,4188.0
S,S_10,EK8RM_18_30,19,1142.0
S,S_10,EK8RM_30_50,10,13277.0
S,S_10,EK8RM_30_50,12,10376.0
S,S_10,EK8RM_30_50,15,1099.0
S,S_10,EK8RM_30_50,19,10248.0
S,S_10,EK8RM_28_F,10,180.0
S,S_10,EK8RM_28_F,12,5153.0
S,S_10,EK8RM_28_F,18,1939.0
S,S_10,EK8RM_28_F,19,228.0
S,S_10,EK8RM_50_F,8,1638.0
S,S_10,EK8RM_50_F,9,185.0
S,S_10,EK8RM_50_F,11,351.0
S,S_10,EK8RM_50_F,13,3346.0
S,S_10,EK8RM_50_F,18,370.0
S,S_10,EK8RM_50_F,19,110.0
S,S_2,EK8A_16,3,178.0
S,S_2,EK8A_16,19,72.0
S,S_2,EK8A_24,15,636.0
S,S_2,EK8A_24,18,1137.0
S,S_2,EK8A_24,19,227.0
S,S_2,EK8A_30,1,290.0
S,S_2,EK8A_30,16,408.0
S,S_2,EK8A_30,18,345.0
S,S_2,EK8A_30,19,207.0
S,S_2,EK8A_36,3,1566.0
S,S_2,EK8A_36,5,2263.0
S,S_2,EK8A_36,16,264.0
S,S_2,EK8A_36,19,157.0
S,S_2,EK8A_46,12,9187.0
S,S_2,EK8A_46,17,181.0
S,S_2,EK8A_46,19,132.0
S,S_2,EK8A_54,12,732.0
S,S_2,EK8A_54,15,198.0
S,S_2,EK8A_54,16,180.0
S,S_2,EK8A_54,18,880.0
S,S_2,EK8A_54,19,10.0
S,S_2,EK8A_60,10,303.0
S,S_2,EK8A_60,11,790.0
S,S_2,EK8A_60,12,611.0
S,S_2,EK8A_60,13,7431.0
S,S_2,EK8A_60,18,1275.0
S,S_2,EK8A_60,19,140.0
S,S_2,EK8A_80,9,7631.0
S,S_2,EK8A_80,11,333.0
S,S_2,EK8A_80,12,594.0
S,S_2,EK8A_80,15,863.0
S,S_2,EK8A_80,18,458.0
S,S_2,EK8A_80,19,121.0
S,S_2,EK8A_100,9,166.0
S,S_2,EK8A_100,12,1799.0
S,S_2,EK8A_100,18,1359.0
S,S_2,EK8A_100,19,126.0
S,S_2,EK8A_120,2,4382.0
S,S_2,EK8A_120,19,218.0
S,S_2,EK8A_150,2,1744.0
S,S_2,EK8A_150,11,1013.0
S,S_2,EK8A_150,13,165.0
S,S_2,EK8A_150,15,1455.0
S,S_2,EK8A_150,19,123.0
S,S_2,EK8A_FFF,2,1939.0
S,S_2,EK8A_FFF,9,528.0
S,S_2,EK8A_FFF,12,167.0
S,S_2,EK8A_FFF,17,210.0
S,S_2,EK8A_FFF,19,156.0
S,S_2,EK8R_3_5_7,16,876.0
S,S_2,EK8R_3_5_7,19,124.0
S,S_2,EK8R_4_10,15,8964.0
S,S_2,EK8R_4_10,19,36.0
S,S_2,EK8R_6_10,7,3920.0
S,S_2,EK8R_6_10,19,80.0
S,S_2,EK8R_10_20,8,581.0
S,S_2,EK8R_10_20,18,268.0
S,S_2,EK8R_10_20,19,51.0
S,S_2,EK8R_12_16,1,882.0
S,S_2,EK8R_12_16,2,3023.0
S,S_2,EK8R_12_16,13,704.0
S,S_2,EK8R_12_16,17,3424.0
S,S_2,EK8R_12_16,18,3788.0
S,S_2,EK8R_12_16,19,179.0
S,S_2,EK8R_10_36,2,259.0
S,S_2,EK8R_10_36,11,1507.0
S,S_2,EK8R_10_36,19,234.0
S,S_2,EK8R_20_40,3,1139.0
S,S_2,EK8R_20_40,9,1888.0
S,S_2,EK8R_20_40,19,123.0
S,S_2,EK8R_08_20,9,595.0
S,S_2,EK8R_08_20,17,1962.0
S,S_2,EK8R_08_20,18,412.0
S,S_2,EK8R_08_20,19,31.0
S,S_2,EK8R_40_F,10,409.0
S,S_2,EK8R_40_F,16,1502.0
S,S_2,EK8R_40_F,19,2089.0
S,S_2,EK8R_70_F,14,1716.0
S,S_2,EK8R_70_F,16,811.0
S,S_2,EK8R_70_F,17,4262.0
S,S_2,EK8R_70_F,19,211.0
S,S_2,EK8R_16_F,10,315.0
S,S_2,EK8R_16_F,12,7032.0
S,S_2,EK8R_16_F,16,455.0
S,S_2,EK8R_16_F,19,198.0
S,S_2,EK8R_18_F,5,3468.0
S,S_2,EK8R_18_F,8,2941.0
S,S_2,EK8R_18_F,10,3125.0
S,S_2,EK8R_18_F,19,3466.0
S,S_2,EK8RM_05_16_4,5,1811.0
S,S_2,EK8RM_05_16_4,7,3118.0
S,S_2,EK8RM_05_16_4,11,2540.0
S,S_2,EK8RM_05_16_4,19,31.0
S,S_2,EK8RM_01_4_4,1,1634.0
S,S_2,EK8RM_01_4_4,6,239.0
S,S_2,EK8RM_01_4_4,7,233.0
S,S_2,EK8RM_01_4_4,16,280.0
S,S_2,EK8RM_01_4_4,17,6469.0
S,S_2,EK8RM_01_4_4,19,145.0
S,S_2,EK8RM_4_6,12,767.0
S,S_2,EK8RM_4_6,13,806.0
S,S_2,EK8RM_4_6,17,541.0
S,S_2,EK8RM_4_6,19,3886.0
S,S_2,EK8RM_6_8,10,6296.0
S,S_2,EK8RM_6_8,12,901.0
S,S_2,EK8RM_6_8,18,164.0
S,S_2,EK8RM_6_8,19,139.0
S,S_2,EK8RM_8_12,5,974.0
S,S_2,EK8RM_8_12,15,19347.0
S,S_2,EK8RM_8_12,16,3474.0
S,S_2,EK8RM_8_12,19,205.0
S,S_2,EK8RM_8_20,5,14939.0
S,S_2,EK8RM_8_20,19,61.0
S,S_2,EK8RM_12_16,11,617.0
S,S_2,EK8RM_12_16,13,4096.0
S,S_2,EK8RM_12_16,15,215.0
S,S_2,EK8RM_12_16,19,72.0
S,S_2,EK8RM_12_30,8,3541.0
S,S_2,EK8RM_12_30,9,797.0
S,S_2,EK8RM_12_30,12,23829.0
S,S_2,EK8RM_12_30,17,159.0
S,S_2,EK8RM_12_30,19,174.0
S,S_2,EK8RM_18_30,9,1057.0
S,S_2,EK8RM_18_30,13,333.0
S,S_2,EK8RM_18_30,17,3360.0
S,S_2,EK8RM_18_30,19,1250.0
S,S_2,EK8RM_30_50,2,1135.0
S,S_2,EK8RM_30_50,5,24171.0
S,S_2,EK8RM_30_50,9,9589.0
S,S_2,EK8RM_30_50,19,105.0
S,S_2,EK8RM_28_F,9,6291.0
S,S_2,EK8RM_28_F,14,753.0
S,S_2,EK8RM_28_F,17,308.0
S,S_2,EK8RM_28_F,19,148.0
S,S_2,EK8RM_50_F,4,2834.0
S,S_2,EK8RM_50_F,11,171.0
S,S_2,EK8RM_50_F,18,330.0
S,S_2,EK8RM_50_F,19,2665.0
S,S_3,EK8A_16,5,176.0
S,S_3,EK8A_16,19,74.0
S,S_3,EK8A_24,15,1738.0
S,S_3,EK8A_24,19,262.0
S,S_3,EK8A_30,8,501.0
S,S_3,EK8A_30,15,665.0
S,S_3,EK8A_30,19,84.0
S,S_3,EK8A_36,7,208.0
S,S_3,EK8A_36,9,898.0
S,S_3,EK8A_36,19,3144.0
S,S_3,EK8A_46,1,152.0
S,S_3,EK8A_46,7,1484.0
S,S_3,EK8A_46,8,572.0
S,S_3,EK8A_46,11,350.0
S,S_3,EK8A_46,14,6220.0
S,S_3,EK8A_46,16,429.0
S,S_3,EK8A_46,19,293.0
S,S_3,EK8A_54,11,331.0
S,S_3,EK8A_54,13,1623.0
S,S_3,EK8A_54,19,46.0
S,S_3,EK8A_60,9,877.0
S,S_3,EK8A_60,11,268.0
S,S_3,EK8A_60,12,194.0
S,S_3,EK8A_60,14,191.0
S,S_3,EK8A_60,16,1261.0
S,S_3,EK8A_60,18,7565.0
S,S_3,EK8A_60,19,194.0
S,S_3,EK8A_80,5,4436.0
S,S_3,EK8A_80,9,5442.0
S,S_3,EK8A_80,19,122.0
S,S_3,EK8A_100,7,2519.0
S,S_3,EK8A_100,11,249.0
S,S_3,EK8A_100,16,673.0
S,S_3,EK8A_100,19,9.0
S,S_3,EK8A_120,12,571.0
S,S_3,EK8A_120,15,3860.0
S,S_3,EK8A_120,19,169.0
S,S_3,EK8A_150,2,1691.0
S,S_3,EK8A_150,3,1349.0
S,S_3,EK8A_150,10,1254.0
S,S_3,EK8A_150,19,206.0
S,S_3,EK8A_FFF,10,2096.0
S,S_3,EK8A_FFF,16,685.0
S,S_3,EK8A_FFF,19,219.0
S,S_3,EK8R_3_5_7,1,803.0
S,S_3,EK8R_3_5_7,19,197.0
S,S_3,EK8R_4_10,16,3607.0
S,S_3,EK8R_4_10,17,1658.0
S,S_3,EK8R_4_10,18,3487.0
S,S_3,EK8R_4_10,19,248.0
S,S_3,EK8R_6_10,5,353.0
S,S_3,EK8R_6_10,17,190.0
S,S_3,EK8R_6_10,18,3379.0
S,S_3,EK8R_6_10,19,78.0
S,S_3,EK8R_10_20,16,362.0
S,S_3,EK8R_10_20,18,322.0
S,S_3,EK8R_10_20,19,216.0
S,S_3,EK8R_12_16,2,4271.0
S,S_3,EK8R_12_16,12,206.0
S,S_3,EK8R_12_16,14,240.0
S,S_3,EK8R_12_16,15,1988.0
S,S_3,EK8R_12_16,17,4984.0
S,S_3,EK8R_12_16,18,239.0
S,S_3,EK8R_12_16,19,72.0
S,S_3,EK8R_10_36,5,324.0
S,S_3,EK8R_10_36,15,1596.0
S,S_3,EK8R_10_36,19,80.0
S,S_3,EK8R_20_40,6,2473.0
S,S_3,EK8R_20_40,16,355.0
S,S_3,EK8R_20_40,17,174.0
S,S_3,EK8R_20_40,19,148.0
S,S_3,EK8R_08_20,13,1588.0
S,S_3,EK8R_08_20,18,1307.0
S,S_3,EK8R_08_20,19,105.0
S,S_3,EK8R_40_F,1,440.0
S,S_3,EK8R_40_F,4,230.0
S,S_3,EK8R_40_F,7,1083.0
S,S_3,EK8R_40_F,17,2037.0
S,S_3,EK8R_40_F,19,210.0
S,S_3,EK8R_70_F,6,6818.0
S,S_3,EK8R_70_F,19,182.0
S,S_3,EK8R_16_F,4,1462.0
S,S_3,EK8R_16_F,10,770.0
S,S_3,EK8R_16_F,14,4951.0
S,S_3,EK8R_16_F,16,204.0
S,S_3,EK8R_16_F,18,492.0
S,S_3,EK8R_16_F,19,121.0
S,S_3,EK8R_18_F,6,1107.0
S,S_3,EK8R_18_F,16,4260.0
S,S_3,EK8R_18_F,17,7492.0
S,S_3,EK8R_18_F,19,141.0
S,S_3,EK8RM_05_16_4,15,762.0
S,S_3,EK8RM_05_16_4,16,2000.0
S,S_3,EK8RM_05_16_4,18,4367.0
S,S_3,EK8RM_05_16_4,19,371.0
S,S_3,EK8RM_01_4_4,3,656.0
S,S_3,EK8RM_01_4_4,7,933.0
S,S_3,EK8RM_01_4_4,13,1058.0
S,S_3,EK8RM_01_4_4,17,6351.0
S,S_3,EK8RM_01_4_4,19,2.0
S,S_3,EK8RM_4_6,7,438.0
S,S_3,EK8RM_4_6,9,691.0
S,S_3,EK8RM_4_6,11,693.0
S,S_3,EK8RM_4_6,14,3940.0
S,S_3,EK8RM_4_6,19,238.0
S,S_3,EK8RM_6_8,8,1192.0
S,S_3,EK8RM_6_8,17,6167.0
S,S_3,EK8RM_6_8,19,141.0
S,S_3,EK8RM_8_12,5,168.0
S,S_3,EK8RM_8_12,8,2622.0
S,S_3,EK8RM_8_12,10,9867.0
S,S_3,EK8RM_8_12,16,208.0
S,S_3,EK8RM_8_12,18,8279.0
S,S_3,EK8RM_8_12,19,2856.0
S,S_3,EK8RM_8_20,6,2059.0
S,S_3,EK8RM_8_20,9,11889.0
S,S_3,EK8RM_8_20,18,766.0
S,S_3,EK8RM_8_20,19,286.0
S,S_3,EK8RM_12_16,7,672.0
S,S_3,EK8RM_12_16,10,3060.0
S,S_3,EK8RM_12_16,17,704.0
S,S_3,EK8RM_12_16,19,564.0
S,S_3,EK8RM_12_30,1,1098.0
S,S_3,EK8RM_12_30,9,10259.0
S,S_3,EK8RM_12_30,10,15902.0
S,S_3,EK8RM_12_30,16,475.0
S,S_3,EK8RM_12_30,17,353.0
S,S_3,EK8RM_12_30,19,413.0
S,S_3,EK8RM_18_30,1,2338.0
S,S_3,EK8RM_18_30,11,186.0
S,S_3,EK8RM_18_30,18,1325.0
S,S_3,EK8RM_18_30,19,2151.0
S,S_3,EK8RM_30_50,3,5616.0
S,S_3,EK8RM_30_50,11,4773.0
S,S_3,EK8RM_30_50,14,10415.0
S,S_3,EK8RM_30_50,16,3983.0
S,S_3,EK8RM_30_50,17,282.0
S,S_3,EK8RM_30_50,18,9865.0
S,S_3,EK8RM_30_50,19,66.0
S,S_3,EK8RM_28_F,11,2010.0
S,S_3,EK8RM_28_F,14,5044.0
S,S_3,EK8RM_28_F,16,225.0
S,S_3,EK8RM_28_F,19,221.0
S,S_3,EK8RM_50_F,4,766.0
S,S_3,EK8RM_50_F,10,778.0
S,S_3,EK8RM_50_F,12,348.0
S,S_3,EK8RM_50_F,16,205.0
S,S_3,EK8RM_50_F,17,3738.0
S,S_3,EK8RM_50_F,19,165.0
S,S_4,EK8A_16,2,184.0
S,S_4,EK8A_16,19,66.0
S,S_4,EK8A_24,7,984.0
S,S_4,EK8A_24,16,890.0
S,S_4,EK8A_24,19,126.0
S,S_4,EK8A_30,6,404.0
S,S_4,EK8A_30,7,565.0
S,S_4,EK8A_30,16,175.0
S,S_4,EK8A_30,19,106.0
S,S_4,EK8A_36,4,226.0
S,S_4,EK8A_36,8,164.0
S,S_4,EK8A_36,14,156.0
S,S_4,EK8A_36,15,2108.0
S,S_4,EK8A_36,18,1565.0
S,S_4,EK8A_36,19,31.0
S,S_4,EK8A_46,9,7425.0
S,S_4,EK8A_46,13,934.0
S,S_4,EK8A_46,17,930.0
S,S_4,EK8A_46,19,211.0
S,S_4,EK8A_54,12,575.0
S,S_4,EK8A_54,15,596.0
S,S_4,EK8A_54,17,549.0
S,S_4,EK8A_54,19,280.0
S,S_4,EK8A_60,3,697.0
S,S_4,EK8A_60,14,1184.0
S,S_4,EK8A_60,16,1432.0
S,S_4,EK8A_60,17,745.0
S,S_4,EK8A_60,18,6426.0
S,S_4,EK8A_60,19,66.0
S,S_4,EK8A_80,12,7045.0
S,S_4,EK8A_80,14,2526.0
S,S_4,EK8A_80,15,184.0
S,S_4,EK8A_80,19,245.0
S,S_4,EK8A_100,5,801.0
S,S_4,EK8A_100,7,351.0
S,S_4,EK8A_100,14,806.0
S,S_4,EK8A_100,16,1029.0
S,S_4,EK8A_100,18,433.0
S,S_4,EK8A_100,19,30.0
S,S_4,EK8A_120,12,499.0
S,S_4,EK8A_120,16,2967.0
S,S_4,EK8A_120,17,300.0
S,S_4,EK8A_120,19,834.0
S,S_4,EK8A_150,13,307.0
S,S_4,EK8A_150,19,4193.0
S,S_4,EK8A_FFF,12,261.0
S,S_4,EK8A_FFF,15,1113.0
S,S_4,EK8A_FFF,17,684.0
S,S_4,EK8A_FFF,18,848.0
S,S_4,EK8A_FFF,19,94.0
S,S_4,EK8R_3_5_7,2,342.0
S,S_4,EK8R_3_5_7,11,316.0
S,S_4,EK8R_3_5_7,15,158.0
S,S_4,EK8R_3_5_7,19,184.0
S,S_4,EK8R_4_10,12,2093.0
S,S_4,EK8R_4_10,15,6666.0
S,S_4,EK8R_4_10,19,241.0
S,S_4,EK8R_6_10,4,467.0
S,S_4,EK8R_6_10,5,546.0
S,S_4,EK8R_6_10,16,305.0
S,S_4,EK8R_6_10,17,2283.0
S,S_4,EK8R_6_10,18,349.0
S,S_4,EK8R_6_10,19,50.0
S,S_4,EK8R_10_20,17,285.0
S,S_4,EK8R_10_20,18,178.0
S,S_4,EK8R_10_20,19,437.0
S,S_4,EK8R_12_16,2,1845.0
S,S_4,EK8R_12_16,8,213.0
S,S_4,EK8R_12_16,10,4096.0
S,S_4,EK8R_12_16,16,5643.0
S,S_4,EK8R_12_16,19,203.0
S,S_4,EK8R_10_36,1,725.0
S,S_4,EK8R_10_36,15,1033.0
S,S_4,EK8R_10_36,19,242.0
S,S_4,EK8R_20_40,5,2102.0
S,S_4,EK8R_20_40,9,371.0
S,S_4,EK8R_20_40,15,502.0
S,S_4,EK8R_20_40,19,175.0
S,S_4,EK8R_08_20,17,979.0
S,S_4,EK8R_08_20,18,1972.0
S,S_4,EK8R_08_20,19,49.0
S,S_4,EK8R_40_F,6,694.0
S,S_4,EK8R_40_F,19,3306.0
