dataset,instance,Z_best,Z_mean,Z_std,Z_worst,gap_best_vs_mip,gap_mean_vs_mip,mip_bound,n_runs,t2best_best,t2best_mean,ils_iters_mean
4X,IncT4x_5,46983.093,59378.4968,7768.419221,68740.179,9.5863,38.4981,42873.136,10,23.907,1469.656,9.4
4X,IncT4x_6,86776.806,92277.8006,3927.510691,100774.548,14.7088,21.9805,75649.648,10,1918.601,2746.403,11.2
4X,IncT4x_7,25967.717,32049.0214,3420.62844,36824.725,59.8579,97.2946,16244.25,10,516.19,2696.394,11.2
4X,IncT4x_8,181977.871,190761.8154,5847.836402,201628.234,4.4777,9.5208,174178.667,10,845.043,2507.987,11.6
4X,IncT4x_9,29515.394,35252.9033,4120.698172,43786.319,26.1796,50.7078,23391.565,10,168.533,2843.04,11.3
4X,IncT4x_10,19699.562,21858.9822,1026.20349,23221.553,57.404,74.6583,12515.284,10,571.417,2489.702,12.4
5X,IncT5x_1,60854.829,67515.9927,4263.570844,74339.252,27.6781,41.6537,47662.707,10,1394.882,2782.502,6.3
5X,IncT5x_2,125456.956,138962.1107,8448.397163,152022.265,11.1269,23.0895,112895.177,10,1097.887,3016.889,7.4
5X,IncT5x_3,64032.779,68758.8061,2573.84291,73911.899,24.4277,33.6113,51461.816,10,289.478,1896.906,6.4
5X,IncT5x_4,151274.675,162985.088,7723.073496,174735.918,8.8326,17.2575,138997.566,10,1223.43,2799.337,6.2
5X,IncT5x_5,65031.97,73037.7693,4691.735611,79027.113,43.9361,61.6554,45181.148,10,89.423,2307.252,5.7
5X,IncT5x_6,94255.685,99032.0577,2703.991829,104628.853,20.961,27.0906,77922.383,10,440.528,2428.268,7.1
5X,IncT5x_7,32669.616,38965.4109,4790.849192,47654.487,76.1517,110.0981,18546.294,10,243.643,2713.461,6.2
5X,IncT5x_8,191392.854,206137.3237,11323.551517,232845.395,8.7883,17.1691,175931.402,10,114.608,2843.862,7.1
5X,IncT5x_9,36024.753,41176.6498,2280.017655,46318.834,50.0323,71.4884,24011.33,10,536.769,2534.998,6.3
5X,IncT5x_10,24678.883,28333.2374,1720.100989,30249.897,79.0961,105.6159,13779.689,10,942.322,2590.399,6.6
